player,team,acquisition,role
Rupesh K Singh,Janakpur Bolts,Iconic,Bowler
Tul Bahadur Thapa Magar,Janakpur Bolts,Iconic,Bowler
Mousom Dhakal,Karnali Yaks,Iconic,Bowler
Deepak Dumre,Karnali Yaks,Iconic,Wicketkeeper
Arjun Gharti,Karnali Yaks,Iconic,Wicketkeeper
Dipesh Kandel,Kathmandu Gurkhas,Iconic,Bowler
Bikash Aagri,Lumbini Lions,Iconic,Bowler
Arjun Saud,Lumbini Lions,Iconic,Wicketkeeper
Amrit Gurung,Pokhara Avengers,Iconic,All-rounder
Bhoj Raj Bhatta,Sudurpaschim Royals,Iconic,All-rounder
Ishan Pandey,Sudurpaschim Royals,Iconic,Bowler
Binod Bhandari,Sudurpaschim Royals,Iconic,Wicketkeeper
