player,team,price_in_lakh,salary_contribution_percent
Martin Guptill,Biratnagar Kings,50.00,26.81
Sandeep Lamichhane,Biratnagar Kings,20.00,10.72
Scott Edwards,Biratnagar Kings,15.00,8.04
Pratish GC,Biratnagar Kings,15.00,8.04
Lokesh Bam,Biratnagar Kings,15.00,8.04
Chris Sole,Biratnagar Kings,12.00,6.43
Bashir Ahmad,Biratnagar Kings,10.00,5.36
Aqib Ilyas,Biratnagar Kings,10.00,5.36
Nicholas Kirton,Biratnagar Kings,8.00,4.29
Ismat Alam,Biratnagar Kings,5.00,2.68
Rajesh Pulami Magar,Biratnagar Kings,5.00,2.68
Jitendra Kumar Mukhiya,Biratnagar Kings,5.00,2.68
Anil Kharel,Biratnagar Kings,5.00,2.68
Dipak Bohara,Biratnagar Kings,5.00,2.68
Subash Bhandari,Biratnagar Kings,2.50,1.34
Mrinal Gurung,Biratnagar Kings,2.00,1.07
Naren Bhatta,Biratnagar Kings,2.00,1.07
Ravi Bopara,Chitwan Rhinos,40.00,18.78
Sohail Tanvir,Chitwan Rhinos,25.00,11.74
Kushal Malla,Chitwan Rhinos,20.00,9.39
Marchant de Lange,Chitwan Rhinos,20.00,9.39
Jan Nicol Loftie-Eaton,Chitwan Rhinos,15.00,7.04
Basil Hameed,Chitwan Rhinos,12.00,5.63
Sharad Vesawkar,Chitwan Rhinos,10.00,4.69
Kamal Singh Airee,Chitwan Rhinos,10.00,4.69
Rijan Dhakal,Chitwan Rhinos,10.00,4.69
Luc Benkenstein,Chitwan Rhinos,10.00,4.69
Bipin Rawal,Chitwan Rhinos,8.00,3.76
Hassan Eisakhil,Chitwan Rhinos,8.00,3.76
Deepak Bohara,Chitwan Rhinos,5.00,2.35
Santosh Karki,Chitwan Rhinos,5.00,2.35
Dipesh Shrestha,Chitwan Rhinos,5.00,2.35
Amar Singh Rautela,Chitwan Rhinos,5.00,2.35
Ranjeet Kumar,Chitwan Rhinos,3.00,1.41
Gautam KC,Chitwan Rhinos,2.00,0.94
James Neesham,Janakpur Bolts,45.00,21.71
Aasif Sheikh,Janakpur Bolts,20.00,9.65
Sohaib Maqsood,Janakpur Bolts,20.00,9.65
Ben Mike,Janakpur Bolts,18.00,8.69
Lahiru Milantha,Janakpur Bolts,15.00,7.24
Anil Sah,Janakpur Bolts,15.00,7.24
Lalit Rajbanshi,Janakpur Bolts,15.00,7.24
Mohammad Mohsin,Janakpur Bolts,12.00,5.79
Kishore Mahato,Janakpur Bolts,10.00,4.83
Aakash Tripathi,Janakpur Bolts,10.00,4.83
Joshua Tromp,Janakpur Bolts,10.00,4.83
Hemant Dhami,Janakpur Bolts,5.00,2.41
Sher Malla,Janakpur Bolts,5.00,2.41
Shubh Kansakar,Janakpur Bolts,5.00,2.41
Arniko Prasad Yadav,Janakpur Bolts,2.25,1.09
Rupesh K Singh,Janakpur Bolts,0.00,0.00
Tul Bahadur Thapa Magar,Janakpur Bolts,0.00,0.00
Shikhar Dhawan,Karnali Yaks,80.00,32.13
Hussain Talat,Karnali Yaks,30.00,12.05
Babar Hayat,Karnali Yaks,25.00,10.04
Sompal Kami,Karnali Yaks,20.00,8.03
Chadwick Walton,Karnali Yaks,20.00,8.03
Will Bosisto,Karnali Yaks,18.00,7.23
Gulshan Jha,Karnali Yaks,15.00,6.02
Zeeshan Maqsood,Karnali Yaks,15.00,6.02
Jaykishan Kolsawala,Karnali Yaks,10.00,4.02
Dipendra Rawat,Karnali Yaks,5.00,2.01
Bhuvan Karki,Karnali Yaks,3.00,1.20
Dev Khanal,Karnali Yaks,2.00,0.80
Bipin Sharma,Karnali Yaks,2.00,0.80
Unish Singh Thakuri,Karnali Yaks,2.00,0.80
Nandan Yadav,Karnali Yaks,2.00,0.80
Deepak Dumre,Karnali Yaks,0.00,0.00
Arjun Gharti,Karnali Yaks,0.00,0.00
Mousom Dhakal,Karnali Yaks,0.00,0.00
Rashid Khan,Kathmandu Gurkhas,70.00,31.39
Stephen Eskinazi,Kathmandu Gurkhas,25.00,11.21
Gerhard Erasmus,Kathmandu Gurkhas,20.00,8.97
Karan KC,Kathmandu Gurkhas,20.00,8.97
Nathan Sowter,Kathmandu Gurkhas,18.00,8.07
Shahab Alam,Kathmandu Gurkhas,15.00,6.73
Dan Douthwaite,Kathmandu Gurkhas,15.00,6.73
Bhim Sharki,Kathmandu Gurkhas,15.00,6.73
Michael Levitt,Kathmandu Gurkhas,12.00,5.38
Pratik Shrestha,Kathmandu Gurkhas,3.00,1.35
Krishna Karki,Kathmandu Gurkhas,2.00,0.90
Shankar Rana,Kathmandu Gurkhas,2.00,0.90
Raju Rijal,Kathmandu Gurkhas,2.00,0.90
Bibek KC,Kathmandu Gurkhas,2.00,0.90
Krish Karki,Kathmandu Gurkhas,2.00,0.90
Dipesh Kandel,Kathmandu Gurkhas,0.00,0.00
Ben Cutting,Lumbini Lions,30.00,17.86
Rohit Paudel,Lumbini Lions,20.00,11.90
Tom Moores,Lumbini Lions,20.00,11.90
Sundeep Jora,Lumbini Lions,15.00,8.93
Surya Tamang,Lumbini Lions,15.00,8.93
Unmukt Chand,Lumbini Lions,15.00,8.93
Bibek Yadav,Lumbini Lions,15.00,8.93
Ramon Simmonds,Lumbini Lions,12.00,7.14
Saad Bin Zafar,Lumbini Lions,10.00,5.95
Dinesh Adhikari,Lumbini Lions,5.00,2.98
Tilak Bhandari,Lumbini Lions,3.00,1.79
Abhishesh Gautam,Lumbini Lions,2.00,1.19
Durgesh Gupta,Lumbini Lions,2.00,1.19
Aarif Khan,Lumbini Lions,2.00,1.19
Ashutosh Ghiraiya,Lumbini Lions,2.00,1.19
