team,role,role_salary,role_contribution_pct
Biratnagar Kings,Batsman,68.00,36.46
Biratnagar Kings,Bowler,64.00,34.32
Biratnagar Kings,Wicketkeeper,30.00,16.09
Biratnagar Kings,All-rounder,24.50,13.14
Chitwan Rhinos,All-rounder,148.00,69.48
Chitwan Rhinos,Bowler,40.00,18.78
Chitwan Rhinos,Batsman,17.00,7.98
Chitwan Rhinos,Wicketkeeper,8.00,3.76
Janakpur Bolts,All-rounder,78.00,37.64
Janakpur Bolts,Wicketkeeper-Batsman,50.00,24.13
Janakpur Bolts,Batsman,37.25,17.97
Janakpur Bolts,Bowler,37.00,17.85
Janakpur Bolts,Wicketkeeper,5.00,2.41
Karnali Yaks,Batsman,129.00,51.81
Karnali Yaks,All-rounder,85.00,34.14
Karnali Yaks,Wicketkeeper,20.00,8.03
Karnali Yaks,Bowler,15.00,6.02
Kathmandu Gurkhas,Bowler,125.00,56.05
Kathmandu Gurkhas,Batsman,56.00,25.11
Kathmandu Gurkhas,All-rounder,40.00,17.94
Kathmandu Gurkhas,Wicketkeeper,2.00,0.90
Lumbini Lions,All-rounder,95.00,56.55
Lumbini Lions,Batsman,32.00,19.05
Lumbini Lions,Bowler,21.00,12.50
Lumbini Lions,Wicketkeeper,20.00,11.90
Pokhara Avengers,All-rounder,99.00,51.30
Pokhara Avengers,Bowler,47.00,24.35
Pokhara Avengers,Batsman,29.00,15.03
Pokhara Avengers,Wicketkeeper,18.00,9.33
Sudurpaschim Royals,All-rounder,90.00,58.82
Sudurpaschim Royals,Bowler,32.00,20.92
Sudurpaschim Royals,Batsman,29.00,18.95
Sudurpaschim Royals,Wicketkeeper,2.00,1.31
